feature,n,pearson_corr,spearman_corr,abs_spearman
a_investor_allotted_accounts,1194,0.699813126083896,0.747019037028626,0.747019037028626
offline_issue_final_share_pct,1194,-0.5290206327804903,-0.48959876543089087,0.48959876543089087
ipo_pe_diluted,1130,-0.18272595003421271,-0.4848821274266405,0.4848821274266405
excluded_subscription_share_pct,1194,-0.3743396363232441,-0.4724808955360507,0.4724808955360507
issue_amount_100m_yuan,1194,-0.33792230882767976,-0.4632469628578292,0.4632469628578292
issue_pb,1191,-0.3490331412427837,-0.4628063889951854,0.4628063889951854
a_investor_subscription_share_pct,1194,-0.4094967058121444,-0.43358930966017734,0.43358930966017734
pe_vs_industry,1127,-0.16143342988032144,-0.4149130157466344,0.4149130157466344
a_investor_subscription_shares_10k,1194,0.08518236236904993,0.3976159684674059,0.3976159684674059
offer_price_yuan,1194,-0.2273012545590257,-0.34868290230262783,0.34868290230262783
a_investor_allotted_shares_10k,1194,-0.2166573557980273,-0.3045303747481088,0.3045303747481088
pe_vs_comparable,1122,-0.155981338041094,-0.24759009154881856,0.24759009154881856
strategic_allocation_share_pct,875,0.11491318554267552,0.2409081651209735,0.2409081651209735
offline_issue_before_share_pct,1194,-0.21232630551980475,-0.2404535250920721,0.2404535250920721
a_investor_allocation_share_pct,1194,-0.3649009244244306,-0.211297182161954,0.211297182161954
comparable_pe_avg_ex_nonrecurring,1122,-0.12917956947725742,-0.20629371207143063,0.20629371207143063
high_price_excluded_subscription_share_pct,1194,-0.18029134443986344,-0.19599810173630994,0.19599810173630994
offline_issue_before_clawback_10k,1194,-0.17169693964051297,-0.11765396916582307,0.11765396916582307
strategic_allocation_10k,875,-0.12276901387457527,0.11264235546116987,0.11264235546116987
offline_accounts_per_investor,1194,0.24542264993018018,0.1087928049693452,0.1087928049693452
total_issue_shares_10k,1194,-0.14523941405951626,-0.06603891192831823,0.06603891192831823
industry_pe_at_ipo,1174,-0.04231594803421998,-0.05585232264945121,0.05585232264945121
valid_to_total_subscription_pct,1194,0.014553712434991138,0.05158004029171309,0.05158004029171309
online_issue_before_clawback_10k,1194,-0.10735469870092157,0.04826778070111511,0.04826778070111511
underwriting_ratio_pct,1194,-0.0758359028273743,0.022189004977117403,0.022189004977117403
